id,name,start_date,end_date,replaces,replaced_by
Q936913,"John Erskine, Earl of Mar (1675–1732)",1707-05-01,1709-02-03,,Q335636
Q335636,"James Douglas, 2nd Duke of Queensberry",1709-02-03,1711-07-06,Q936913,Q936913
Q936913,"John Erskine, Earl of Mar (1675–1732)",1713-09-30,1714-09-24,Q335636,Q2585405
Q2585405,"James Graham, 1st Duke of Montrose",1714-09-24,1715-08-01,Q936913,Q603499
Q603499,"John Ker, 1st Duke of Roxburghe",1716-12-13,1725-08-01,Q2585405,Q11727899
Q11727899,"John Hay, 4th Marquess of Tweeddale",1742-02-16,1746-01-03,Q603499,Q333488
Q333488,"Charles Gordon-Lennox, 6th Duke of Richmond",1885-08-17,1886-01-28,Q11727899,Q333808
Q333808,"Sir George Trevelyan, 2nd Baronet",1886-02-08,1886-03-01,Q333488,Q6254150
Q6254150,"John Ramsay, 13th Earl of Dalhousie",1886-04-05,1886-07-20,Q333808,Q19008
Q19008,Arthur Balfour,1886-08-05,1887-03-11,Q6254150,Q2782520
Q2782520,"Schomberg Kerr, 9th Marquess of Lothian",1887-03-11,1892-08-11,Q19008,Q333808
Q333808,"Sir George Trevelyan, 2nd Baronet",1892-08-18,1895-06-21,Q2782520,Q4718450
Q4718450,"Alexander Bruce, 6th Lord Balfour of Burleigh",1895-06-29,1903-10-09,Q333808,Q1844725
Q1844725,"Andrew Murray, 1st Viscount Dunedin",1903-10-09,1905-02-02,Q4718450,Q335178
Q335178,"John Hope, 1st Marquess of Linlithgow",1905-02-02,1905-12-04,Q1844725,Q11727985
Q11727985,"John Sinclair, 1st Baron Pentland",1905-12-10,1912-02-13,Q335178,Q7792331
Q7792331,Thomas Wood (Liberal politician),1912-02-13,1916-07-09,Q11727985,Q5662543
Q5662543,Harold Tennant,1916-07-09,1916-12-05,Q7792331,Q7347872
Q7347872,"Robert Munro, 1st Baron Alness",1916-12-10,1922-10-19,Q5662543,Q1386511
Q1386511,"Ronald Munro Ferguson, 1st Viscount Novar",1922-10-24,1924-01-22,Q7347872,Q337459
Q337459,William Adamson,1924-01-22,1924-11-03,Q1386511,Q5759238
Q5759238,"Sir John Gilmour, 2nd Baronet",1924-11-06,1926-07-26,Q337459,Q5759238
Q5759238,"Sir John Gilmour, 2nd Baronet",1926-07-15,1929-06-04,Q5759238,Q337459
Q337459,William Adamson,1929-06-07,1931-08-24,Q5759238,Q4786520
Q4786520,"Archibald Sinclair, 1st Viscount Thurso",1931-08-25,1932-09-28,Q337459,Q5576408
Q5576408,Godfrey Collins,1932-09-28,1936-10-29,Q4786520,Q7964761
Q7964761,Walter Elliot (Scottish politician),1936-10-29,1938-05-06,Q5576408,Q6226788
Q6226788,"John Colville, 1st Baron Clydesmuir",1938-05-06,1940-05-10,Q7964761,Q5392836
Q5392836,Ernest Brown (British politician),1940-05-14,1941-02-08,Q6226788,Q255340
Q255340,Tom Johnston (Scottish politician),1941-02-08,1945-05-23,Q5392836,Q5671733
Q5671733,"Harry Primrose, 6th Earl of Rosebery",1945-05-25,1945-07-26,Q255340,Q6287870
Q6287870,Joseph Westwood,1945-08-03,1947-10-07,Q5671733,Q4800743
Q4800743,Arthur Woodburn,1947-10-07,1950-02-28,Q6287870,Q3428035
Q3428035,Hector McNeil,1950-02-28,1951-10-26,Q4800743,Q6143784
Q6143784,"James Stuart, 1st Viscount Stuart of Findhorn",1951-10-30,1957-01-13,Q3428035,Q6246292
Q6246292,"John Maclay, 1st Viscount Muirshiel",1957-01-13,1962-07-13,Q6143784,Q6833078
Q6833078,"Michael Noble, Baron Glenkinglas",1962-07-13,1964-10-16,Q6246292,Q333404
Q333404,"Willie Ross, Baron Ross of Marnock",1964-10-18,1970-06-19,Q6833078,Q5584953
Q5584953,"Gordon Campbell, Baron Campbell of Croy",1970-06-20,1974-03-04,Q333404,Q333404
Q333404,"Willie Ross, Baron Ross of Marnock",1974-03-05,1976-04-08,Q5584953,Q333293
Q333293,Bruce Millan,1976-04-08,1979-05-04,Q333404,Q333145
Q333145,"George Younger, 4th Viscount Younger of Leckie",1979-05-05,1986-01-11,Q333293,Q333487
Q333487,Malcolm Rifkind,1986-01-11,1990-11-28,Q333145,Q333030
Q333030,"Ian Lang, Baron Lang of Monkton",1990-11-28,1995-07-05,Q333487,Q334357
Q334357,"Michael Forsyth, Baron Forsyth of Drumlean",1995-07-05,1997-05-02,Q333030,Q333158
Q333158,Donald Dewar,1997-05-03,1999-05-17,Q334357,Q333461
Q333461,"John Reid, Baron Reid of Cardowan",1999-05-17,2001-01-25,Q333158,Q334128
Q334128,Helen Liddell,2001-01-25,2003-06-13,Q333461,Q296639
Q296639,Alistair Darling,2003-06-13,2006-05-05,Q334128,Q259106
Q259106,Douglas Alexander,2006-05-05,2007-06-27,Q296639,Q332587
Q332587,Des Browne,2007-06-28,2008-10-03,Q259106,Q333702
Q333702,Jim Murphy,2008-10-03,2010-05-11,Q332587,Q259082
Q259082,Danny Alexander,2010-05-11,2010-05-29,Q333702,Q333446
Q333446,Michael Moore (Scottish politician),2010-05-29,2013-10-07,Q259082,Q269124
Q269124,Alistair Carmichael,2013-10-07,2015-05-08,Q333446,Q333520
Q333520,David Mundell,2015-05-11,2019-07-24,Q269124,Q30165682
Q30165682,Alister Jack,2019-07-24,,Q333520,
